Nombre Evento;Comprado?;Consumible o material;Producto;Descripción;Precio Total (€) ANTES;Unidad Real;Precio/Unidad Real; Precio Real (€) ;Ahorrado cancelaciones/donaciones/precio real;Link Compra;Proveedor;Tipo de Despensa;Categoría de necesidad;Notas;POSIBLE DONACION PATER;Columna1;ENLACE DONACION
1. Spanish Night;Pendiente;CONSUMIBLE;Sangría;Sangría Casón Histórico 1,5L;275.20 €;172;1.60; € 275.20 ;;https://tienda.mercadona.es/product/66922/sangria-cason-historico-botella ;Mercadona;Nevera/Congelador;Spanish Bebida;Bebidas;;;
1. Spanish Night;Pendiente;CONSUMIBLE;Tinto Verano 0.0;Tinto verano zero limón 0 alcohol;49.50 €;55;0.90; € 49.50 ;;https://tienda.mercadona.es/product/60748/tinto-verano-zero-limon-cason-historico-0-alcohol-0-azucar-botella ;Mercadona;Nevera/Congelador;Spanish Bebida;Bebidas;;;
1. Spanish Night;Pendiente;CONSUMIBLE;Vino Fino;Vino fino D.O. Montilla-Moriles bag-in-box 5L;268.32 €;16;16.77; € 268.32 ;;https://www.compraonline.alcampo.es/products/cobos-vino-fino-con-d-o-montilla-moriles-cobos-bag-in-box-de-5-l/33080 ;Alcampo;Nevera/Congelador;Spanish Bebida;Bebidas;;;
1. Spanish Night;Pendiente;CONSUMIBLE;Sprite;Refresco lima-limón 2L;76.95 €;81;0.95; € 76.95 ;;https://tienda.mercadona.es/product/29079/refresco-lima-limon-hacendado-fresh-gas-botella ;Mercadona;Nevera/Congelador;Spanish Bebida;Bebidas;;;
1. Spanish Night;Cancelado;CONSUMIBLE;Jarabe de Fruta (granizados);Jarabe de fruta para granizados (litros);168.00 €;0;0.00; € -   ;168.00 €;https://www.amazon.es/Passionsfrucht-Maracuja-granizado-maracuy%C3%A1-Naranja/dp/B07JHR43TY/ref=sr_1_10?dib=eyJ2IjoiMSJ9.7u6AtiLmPAwJIgbVkaN9setVr3mSWX_WRkUjjViz-s6AZdEzArDvyhBxXuIi4lcqyUQylWOLYkN7hWo1aOPBFo0J_KP2VeU7RZ6p-4SLbcnRifoq2FdasZsRIOdUUAxxuP2TLgWezUTD5X2vKUUx20UmTwl_nwjT0b-jNJe9gWSaz9JX61BVu2IGMI6k6VNTQxnZLKtscq7oAaAQcOjHqagUdcqS1VTBDF9lkbkhzWEMr38S4Nxu5q8L6GtpY3CjwEo1rSXv_Bg9mu2s8gqY-NsAFdCto8oIC0BVCH2xe88.AGK1rvTQ9NPQqg8EbgyuwLumhnU1367Su067YkZHbWA&dib_tag=se&keywords=jarabe+de+fruta+granizado&qid=1761910199&sr=8-10;Amazon;Despensa;Spanish Bebida;;;;
1. Spanish Night;Pendiente;CONSUMIBLE;Hielo;Bolsas de hielo (≈1,70€/kg);51.00 €;30;1.70; € 51.00 ;;https://tienda.makro.es/shop/pv/BTY-X323716/0032/0021/Bugy-bolsa-hielo-2Kg;Makro;Nevera/Congelador;Spanish Bebida;;;;
1. Spanish Night;Pendiente;CONSUMIBLE;Sidra;Sidra;342.72 €;168;2.04; € 342.72 ;;https://tienda.makro.es/shop/pv/BTY-X10841/0032/0021 ;Makro;Nevera/Congelador;Spanish Bebida;Bebidas;;;
1. Spanish Night;Cancelado;CONSUMIBLE;Horchata;Horchata de chufa brik;175.50 €;0;0.00; € -   ;175.50 €;https://tienda.mercadona.es/product/5673/horchata-chufa-hacendado-brick ;Mercadona;Nevera/Congelador;Spanish Bebida;Bebidas;;;
1. Spanish Night;Cancelado;CONSUMIBLE;Vino Tinto Kalimotxo;Vino tinto bag-in-box 5L para kalimotxo;19.05 €;0;0.00; € -   ;19.05 €;https://tienda.makro.es/shop/pv/BTY-X137065/0032/0021/CERRO-DE-LA-CRUZ-vino-tinto-bag-box-5L;Makro;Nevera/Congelador;Spanish Bebida;Bebidas;;;
1. Spanish Night;Pendiente;CONSUMIBLE;Coca-Cola;Pack 6 botellas Coca-Cola para kalimotxo;26.31 €;3;8.77; € 26.31 ;;Pendiente;Makro;Nevera/Congelador;Spanish Bebida;Bebidas;;;
1. Spanish Night;Pendiente;CONSUMIBLE;Hielo;Bolsa de hielo 2kg;23.75 €;25;0.95; € 23.75 ;;https://tienda.makro.es/shop/pv/BTY-X323716/0032/0021/Bugy-bolsa-hielo-2Kg;Makro;Nevera/Congelador;Spanish Bebida;Bebidas;;;
